show_id,type,title,country,release_year,rating,listed_in,description,country_1,country_2,country_3,country_4,country_5,country_count,listed_in_1,listed_in_2,listed_in_3,listed_in_4,typeyears
s2,Movie,Take Care Good Night,India,2018,13+,"Drama, International",A Metro Family decides to fight a Cyber Criminal threatening their stability and pride.,India,,,,,1,Drama,International,,,Movie2018
s24,TV Show,ZeroZeroZero,Italy,2020,18+,TV Shows,"ZeroZeroZero series follows the journey of a cocaine shipment, from the moment a powerful cartel of Italian criminals decides to buy it until the cargo is delivered and paid for, passing through its packaging in Mexico and shipment across the Atlantic Ocean.",Italy,,,,,1,TV Shows,,,,TV Show2020
s28,TV Show,Z: The Beginning of Everything,United States,2017,18+,"Comedy, Drama","""Z: The Beginning of Everything"" tells the story of Zelda Sayre Fitzgerald, the brilliant, beautiful Southern Belle who became the original flapper and icon of the wild, flamboyant Jazz Age.",United States,,,,,1,Comedy,Drama,,,TV Show2017
s67,TV Show,World’s Toughest Race: Eco-Challenge Fiji,United States,2020,13+,Unscripted,"66 teams descend upon Fiji to compete in the most epic global adventure race ever attempted. Bear Grylls hosts this 11-day expedition that pushes competitors to their physical and emotional limits. For the veteran teams the goal is to win – but for most, the dream is to finish and prove to themselves and the world, that they can prevail in the World’s Toughest Race.",United States,,,,,1,Unscripted,,,,TV Show2020
s85,TV Show,Wishenpoof,United States,2019,ALL,Kids,"Bianca is just like any other little girl, except for one teensy little thing.  Bianca has Wish Magic, so she can make wishes come true! Whether she’s at home in Wish World, at the Willow Tree with her fairy friends, or at school with her non-fairy friends, Bianca and her hilarious teddy bear sidekick Bob navigate day-to-day problems.",United States,,,,,1,Kids,,,,TV Show2019
s108,Movie,Whoop!,India,2018,18+,"Arts, Entertainment, and Culture","Abish Mathew is the world's greatest stand-up comedian (*citation needed) and this is the world's greatest stand up special (*this definitely needs a citation). Every great punchline has a great set up! And in this one-hour special, we find out how Abish was set up to be a punchline his whole life.",India,,,,,1,Arts,Entertainment and Culture,,,Movie2018
s143,Movie,Wedding Cha Shinema,India,2019,ALL,"Comedy, International","An aspiring filmmaker reluctantly takes up the assignment of filming a wedding in a small town. Once she gets there, she is drawn into the celebration, chaos and drama surrounding the family gathering.",India,,,,,1,Comedy,International,,,Movie2019
s166,Movie,Waiting for You,"United Kingdom, France",2018,13+,"Drama, Romance, Suspense","Paul (Morgan) investigates his late father's increasingly disturbing past and becomes suspicious of the mysterious, melancholic, and possibly dangerous Madeleine (Ardant).",United Kingdom,France,,,,2,Drama,Romance,Suspense,,Movie2018
s176,Movie,Voice From the Stone,"United States, Italy",2017,R,"Drama, Suspense","Set in 1950s Tuscany, Voice from the Stone is the haunting and suspenseful story of Verena, a solemn nurse drawn to aid a young boy who has fallen silent since the sudden passing of his mother.",United States,Italy,,,,2,Drama,Suspense,,,Movie2017
s179,Movie,Viswasam,India,2019,13+,"Action, Drama, International","A village ruffian, who settles disputes in his native, takes on a big shot when he tries to sort out the rough patch in his marriage after several years.",India,,,,,1,Action,Drama,International,,Movie2019
s181,Movie,Virus,India,2019,ALL,"Drama, Science Fiction, Suspense","Virus is a fiction based on true events, revolving around the deadly Nipah virus epidemic scare in Calicut, in 2018. A zoonotic disease top-listed by WHO, with no vaccination and treatment protocol, the deadly Nipah kills 75 % of those affected. Virus movie documents how the community spirit of a small town, in a tiny state of India, managed to fight the battle and win.",India,,,,,1,Drama,Science Fiction,Suspense,,Movie2019
s190,Movie,Vicky Velingkar,India,2019,13+,"International, Suspense","Vicky Velingkar is a struggling comic book artist and a watch seller, who gets entangled in an unexpected murder mystery. As she investigates, she realises that nothing is what it seems and the man who killed her best friend is now on to her. In a race against time, Vicky must find the killer before he hunts her down.",India,,,,,1,International,Suspense,,,Movie2019
